x,y,raw,cumulative,logistic
2860.0,2860.0,1.10481E-6,0.030755888,0.007943679
2861.0,2861.0,1.40258E-4,45.619956114,0.504102948
2862.0,2862.0,1.94366E-4,68.556590681,0.584838642
2863.0,2863.0,1.73157E-5,1.558544921,0.111504906
2864.0,2864.0,5.58873E-5,9.473805864,0.288283565
2865.0,2865.0,1.71296E-4,59.614044011,0.553869703
2866.0,2866.0,2.453E-4,81.842711116,0.640009996
2867.0,2867.0,4.40434E-5,6.995612061,0.241972329
2868.0,2868.0,1.24648E-4,37.466243318,0.474626281
2869.0,2869.0,1.28759E-6,0.043289429,0.00924576
2870.0,2870.0,3.2549E-6,0.148854406,0.023046814
2871.0,2871.0,7.77527E-5,15.673810375,0.360420359
2872.0,2872.0,2.06594E-5,2.219500467,0.130232986
2873.0,2873.0,4.10153E-5,6.430802701,0.229148193
2874.0,2874.0,2.55549E-4,84.149336094,0.649385675
2875.0,2875.0,1.11827E-6,0.031646044,0.008039711
2876.0,2876.0,1.26184E-4,38.243615961,0.477681062
2877.0,2877.0,6.08072E-5,10.654501937,0.305898655
